School,longitude,latitude,SentimentValues
Princeton University,-74.6514481,40.3439888,0.626476188
Harvard University,-71.1166601,42.3770029,0.48248334
Yale University,-72.9223431,41.3163244,0.491538608
Columbia University,-73.9625727,40.8075355,0.48142817
Stanford University,-122.169719,37.4274745,0.49033225
University of Chicago,-87.5978114,41.7906011,0.469046097
Massachusetts Institute of Technology,-71.09416,42.360091,0.448023945
Duke University,-91.649501,41.9197689,0.52738178
University of Pennsylvania,-75.1932137,39.9522188,0.548629289
California Institute of Technology,-118.125269,34.1376576,0.662894592
Johns Hopkins University,-76.6205177,39.3299013,0.626766756
Dartmouth College,-72.2886934,43.7044406,0.564648864
Northwestern University,-87.675267,42.0564594,0.525544823
Brown University,-71.4025482,41.8267718,0.600864252
Cornell University,-76.4735027,42.4534492,0.492747336
Vanderbilt University,-86.8026551,36.1447034,0.51420261
Washington University in St. Louis,-90.3107962,38.6487895,0.4016885
Rice University,-95.4018312,29.7173941,0.635573506
University of Notre Dame,-86.2353388,41.7055716,0.65517007
University of California Berkeley,-122.2585399,37.8718992,0.529004183
Georgetown University,-77.0722585,38.9076089,0.308326516
University of California Los Angeles,-118.4451811,34.068921,0.585608439
University of Southern California,-118.285117,34.0223519,0.562936719
University of Virginia,-78.5079772,38.0335529,0.501704732
Tufts University,-71.1190232,42.4074843,0.305363375
Wake Forest University,-80.2814496,36.1298424,0.585050568
University of Michigan Ann Arbor,-83.7382241,42.2780436,0.60080049
Boston College,-71.1684945,42.3355488,0.424969492
University of North Carolina Chapel Hill,-79.0507433,35.9038175,0.631708279
New York University,-73.9964609,40.7295134,0.467392265
University of Rochester,-77.6260033,43.1305531,0.49409522
Brandeis University,-71.2587343,42.3662845,0.553412066
Georgia Institute of Technology,-84.396285,33.7756178,0.485204968
Case Western Reserve University,-81.6083838,41.5043413,0.56843982
University of California Santa Barbara,-119.848947,34.4139629,0.545953194
Rensselaer Polytechnic Institute,-73.6788026,42.730172,0.449189318
Tulane University,-90.1207279,29.9403477,0.457085617
University of California Davis,-121.7903674,38.5329897,0.275850358
University of Illinois Urbana Champaign,-88.2271615,40.1019523,0.610399389
University of Wisconsin Madison,-89.4124875,43.076592,0.666603455
Lehigh University,-75.3782832,40.6069087,0.551579998
University of Miami,-80.2792843,25.7216374,0.448680879
Ohio State University Columbus,-83.0309143,40.0141905,0.550484743
George Washington University,-77.0485992,38.8997145,0.358459383
University of Connecticut,-72.2539805,41.8077414,0.706549805
Worcester Polytechnic Institute,-71.8059756,42.2738556,0.44992639
Syracuse University,-76.1351158,43.0391534,0.488561885
University of Georgia,-83.3773221,33.9480053,0.604029071
Brigham Young University Provo,-111.6493156,40.2518435,0.522776734
Fordham University,-73.8856987,40.8620404,0.529690348
American University,-77.0908767,38.9368448,0.411487587
Colorado School of Mines,-105.222837,39.7509032,0.58727401
